user	text	date	type
KimKardashian	RT @marianalleite_: very happy with my Kimoji❤@KimKardashian https://t.co/RNviUO55Is	Mon Feb 06 23:58:13 +0000 2017	twitter
KimKardashian	https://t.co/rISg8S9BdI	Mon Feb 06 21:03:07 +0000 2017	twitter
KimKardashian	HI!!!! @KKHOfficial https://t.co/L5OBhKwx2S	Mon Feb 06 20:00:41 +0000 2017	twitter
KimKardashian	Lumee Duo! It launched in Apple stores & has lights on front & the back so u can take insane pics! It's a softer ca… https://t.co/Ap0rG3EkjW	Mon Feb 06 19:49:29 +0000 2017	twitter
KimKardashian	RT @Flound2k: #KanyeforSuperbowl52 https://t.co/TkBDIwFlZt	Mon Feb 06 02:19:32 +0000 2017	twitter
KimKardashian	RT @TeamKanyeDaily: Never too early. #KanyeForSuperbowl52 https://t.co/CY0qdGpkOE	Mon Feb 06 02:16:20 +0000 2017	twitter
KimKardashian	20 weird facts you didn't know about me... on https://t.co/M0m4mjqwvP or the kkw app https://t.co/nt2T87tAnb	Sat Feb 04 02:52:18 +0000 2017	twitter
KimKardashian	We must put #childrenfirst. Wherever they are. Whoever they are. Whenever they need us: https://t.co/I92WLU17rL via @UNICEFUSA	Sat Feb 04 02:29:22 +0000 2017	twitter
KimKardashian	Yes totally! We are setting it up now! #BookClub #KKWAPP https://t.co/AgKH2icyVp	Thu Feb 02 13:34:34 +0000 2017	twitter
KimKardashian	You have to join our book club we're starting Monday! Go order the book! https://t.co/hoaZ1iAElq	Thu Feb 02 12:25:43 +0000 2017	twitter
KimKardashian	@simoneharouche OMG remember the rules!!! No we're talking about Embraced By The Light. It's so good!!!	Thu Feb 02 12:25:08 +0000 2017	twitter
KimKardashian	@viksbazeva sadly he did a few days ago. I read his mothers tweets	Thu Feb 02 05:30:38 +0000 2017	twitter
KimKardashian	This too breaks my soul. I'm praying for your family  https://t.co/yVBPOlr2Uv	Thu Feb 02 05:28:55 +0000 2017	twitter
KimKardashian	It's a story of a woman who died during surgery &came back 2life.She shares her journey of what heaven is like. Its… https://t.co/nDijD16ZWK	Thu Feb 02 05:24:34 +0000 2017	twitter
KimKardashian	This breaks my heart. Please pray for this family. Rest peacefully sweet angel. https://t.co/P6rbaelYZE	Thu Feb 02 05:19:12 +0000 2017	twitter
KimKardashian	Everyone's invited!!!! https://t.co/s38JrvD7NL	Thu Feb 02 04:13:56 +0000 2017	twitter
KimKardashian	"Hey @lala join the book club with @chrissyteigen , @jenatkinhair & I. This book is a life changer"	Thu Feb 02 03:56:41 +0000 2017	twitter
KimKardashian	Yes! Join us! https://t.co/jR1SeItPnd	Thu Feb 02 03:55:50 +0000 2017	twitter
KimKardashian	I'm making them read 'Embraced By The Light' as our first book!	Thu Feb 02 03:33:50 +0000 2017	twitter
KimKardashian	So guys..... @chrissyteigen & @jenatkinhair & I are starting a book club!	Thu Feb 02 03:32:08 +0000 2017	twitter
KimKardashian	Had to change up my look in #KimKardashianGame! Have you guys seen the latest update? @KKHOfficial https://t.co/2vXCdMfWZ5	Wed Feb 01 22:35:12 +0000 2017	twitter
KimKardashian	Any good books I should start reading? I love reading before I fall asleep and need a new book	Wed Feb 01 04:52:56 +0000 2017	twitter
KimKardashian	@FlwlssKardash  happy birthday!!!	Wed Feb 01 04:51:46 +0000 2017	twitter
KimKardashian	Hi!!!!! 😘🙋🏽 https://t.co/BklK23SBwH	Wed Feb 01 04:37:28 +0000 2017	twitter
KimKardashian	Nope! He's so good but omg he has my same cry face.... poor guy! https://t.co/xTIyAvh3HB	Wed Feb 01 04:36:16 +0000 2017	twitter
KimKardashian	@Ajabbott13 awww thank you 😘	Wed Feb 01 04:35:04 +0000 2017	twitter
KimKardashian	Hey!!! 😘 https://t.co/6YJuHloIwT	Wed Feb 01 04:34:20 +0000 2017	twitter
KimKardashian	Hey ladies 💝💘💖 https://t.co/ILN0rs0qy4	Wed Feb 01 04:34:01 +0000 2017	twitter
KimKardashian	This was a rare moment. She is really amazing at pushing him and crying when I hold him though 😂😤😂 https://t.co/AP64uW47vT	Wed Feb 01 04:32:53 +0000 2017	twitter
KimKardashian	Def not! 😂 https://t.co/o6Xijizwwg	Wed Feb 01 04:31:15 +0000 2017	twitter
KimKardashian	Hey!!! 💋❤️😘 https://t.co/tVNeCg0o13	Wed Feb 01 04:30:34 +0000 2017	twitter
KimKardashian	One of my fave places!!!!! https://t.co/bayl9ACh5C	Wed Feb 01 04:28:51 +0000 2017	twitter
KimKardashian	Awww thanks! She's my bestie https://t.co/WlWk8TgK2r	Wed Feb 01 04:24:16 +0000 2017	twitter
KimKardashian	😂😂😂🙋🏽👶🏽👶🏼👶🏻👶🏿👧🏼👧🏻👧🏿👧🏾 https://t.co/ma43gZXtRh	Wed Feb 01 04:23:15 +0000 2017	twitter
KimKardashian	Working on it 😂 https://t.co/zitLTExahT	Tue Jan 31 23:20:32 +0000 2017	twitter
KimKardashian	Hey boo thang! https://t.co/4iQ0fO8yM4	Tue Jan 31 23:20:15 +0000 2017	twitter
KimKardashian	Kylie found it! https://t.co/iMSkNpWxrk	Tue Jan 31 23:19:52 +0000 2017	twitter
KimKardashian	Hey girls!!!! https://t.co/9yGCvQlgUf	Tue Jan 31 23:19:35 +0000 2017	twitter
